Question,Answer,Chapter,Book
"Synapse organization was traditionally thought to be dynamic, with changes occurring over a few seconds.",FALSE,1,Organic_Synthesis_2008
Bulk approaches allow observation of dynamic reorganization of synaptic components in large numbers of molecules simultaneously.,TRUE,1,Organic_Synthesis_2008
"The first single-molecule technique used in synaptic biology was the patch-clamp recording, which measures spatial distribution over time.",FALSE,1,Organic_Synthesis_2008
Single molecule imaging reveals that synaptic molecules can move and alter their diffusive behavior over short time scales.,TRUE,1,Organic_Synthesis_2008
Fluorescence recovery after photobleaching (FRAP) is a technique that measures the movement of entire molecules in the entire domain.,FALSE,1,Organic_Synthesis_2008
Synaptic molecular composition reflects a dynamic balance between subcellular compartments.,TRUE,1,Organic_Synthesis_2008
Lateral diffusion exclusively governs neurotransmitter receptor entry and exit from synapses.,FALSE,1,Organic_Synthesis_2008
Tracking techniques now allow scientists to observe receptor movements with sub-wavelength precision.,TRUE,1,Organic_Synthesis_2008
Excitatory and inhibitory synapse plasticity does not depend on receptor diffusion across membranes.,FALSE,1,Organic_Synthesis_2008
Proteomics has revealed that the postsynaptic density (PSD) contains hundreds of potential associated proteins.,TRUE,1,Organic_Synthesis_2008
The NMDA receptor requires the simultaneous binding of glutamate and glycine for activation.,TRUE,2,Organic_Synthesis_2008
"AMPA, kainate, and NMDA receptors are all categorized as ionotropic glutamate receptors.",TRUE,2,Organic_Synthesis_2008
"NMDA receptor activation involves a voltage-dependent block by Mg²⁺, which is relieved upon depolarization.",TRUE,2,Organic_Synthesis_2008
NMDA receptors are tetrameric assemblies typically made up of two NR1 and two NR2 subunits.,TRUE,2,Organic_Synthesis_2008
Glycine and glutamate binding domains in NMDA receptors form a hinged clamshell structure.,TRUE,2,Organic_Synthesis_2008
Synapse diversity can be observed through serial section transmission electron microscopy (ssTEM).,TRUE,3,Organic_Synthesis_2008
"The term 'tripartite synapse' refers to a structure composed of a presynaptic axon, postsynaptic dendrite, and a synaptic vesicle.",FALSE,3,Organic_Synthesis_2008
"In the hippocampus, dendritic spines can vary more than 10-fold in size.",TRUE,3,Organic_Synthesis_2008
Mushroom spines in dendrites are exclusively found in the cerebellum.,FALSE,3,Organic_Synthesis_2008
Presynaptic vesicles only contain excitatory neurotransmitters such as glutamate.,FALSE,3,Organic_Synthesis_2008
Inhibitory synapses tend to have thinner presynaptic densities compared to excitatory synapses.,TRUE,3,Organic_Synthesis_2008
Perisynaptic astroglial processes are found in nearly all synapses in the cerebellum but less than 50% of synapses in the hippocampus.,TRUE,3,Organic_Synthesis_2008
Smooth endoplasmic reticulum (SER) is equally present in all hippocampal dendritic spines.,FALSE,3,Organic_Synthesis_2008
Synaptic plasticity can dynamically regulate endosomal and SER organelles in dendritic spines.,TRUE,3,Organic_Synthesis_2008
The postsynaptic density (PSD) does not correlate with synaptic vesicle numbers or spine volume.,FALSE,3,Organic_Synthesis_2008
Long-term potentiation (LTP) weakens synaptic transmission over time.,FALSE,4,Organic_Synthesis_2008
LTP is a process observed at glutamatergic synapses in the CA1 region of the hippocampus.,TRUE,4,Organic_Synthesis_2008
A typical experiment to measure LTP involves inducing synaptic activity with low-frequency stimulation.,FALSE,4,Organic_Synthesis_2008
A tetanus is a high-frequency stimulation used to induce LTP.,TRUE,4,Organic_Synthesis_2008
"In brain-slice preparations, LTP typically lasts less than one hour.",FALSE,4,Organic_Synthesis_2008
LTP can persist for at least a year in living animals.,TRUE,4,Organic_Synthesis_2008
Learning experiences can prevent subsequent experimental induction of LTP in the hippocampus.,TRUE,4,Organic_Synthesis_2008
The size of the EPSP in LTP experiments can increase by as much as 100% but not more.,FALSE,4,Organic_Synthesis_2008
Long-term depression (LTD) is another term for long-term potentiation.,FALSE,4,Organic_Synthesis_2008
Experimental evidence suggests a connection between LTP and memory formation.,TRUE,4,Organic_Synthesis_2008
Dendritic spines act as neuronal microcompartments that are diffusively connected to their parent dendrites.,FALSE,5,Organic_Synthesis_2008
"Spine Ca2+ accumulations can trigger synaptic plasticity, including both long-term potentiation (LTP) and long-term depression (LTD).",TRUE,5,Organic_Synthesis_2008
Voltage-sensitive calcium channels (VSCCs) are not involved in Ca2+ influx into dendritic spines.,FALSE,5,Organic_Synthesis_2008
Two-photon excitation laser scanning microscopy (TPLSM) enables high-resolution imaging of dendritic spines in intact brain slices.,TRUE,5,Organic_Synthesis_2008
AMPA receptors (AMPARs) containing the GluR2 subunit have high calcium permeability.,FALSE,5,Organic_Synthesis_2008
NMDA-type glutamate receptor activation requires only glutamate binding to enable Ca2+ influx.,FALSE,5,Organic_Synthesis_2008
Ca2+ signals in Purkinje cells are primarily mediated by NMDA receptors.,FALSE,5,Organic_Synthesis_2008
"Stubby spines lack a spine neck, making them difficult to resolve from their parent dendrites using two-photon microscopy.",TRUE,5,Organic_Synthesis_2008
Genetically encoded Ca2+ indicators (GECIs) produce larger and faster responses compared to synthetic Ca2+ indicators.,FALSE,5,Organic_Synthesis_2008
"Long-term potentiation (LTP) is typically associated with synaptic activity at higher frequencies, while LTD is linked to lower-frequency transmission.",TRUE,5,Organic_Synthesis_2008
Synaptic vesicles (SVs) range in size from 30–50 nm in diameter within the presynaptic nerve terminal.,TRUE,6,Organic_Synthesis_2008
"""Kiss and run"" fusion refers to a permanent fusion of synaptic vesicles with the plasma membrane.",FALSE,6,Organic_Synthesis_2008
Cholesterol represents approximately 40% of the total lipid content of synaptic vesicles.,TRUE,6,Organic_Synthesis_2008
The α-ear domain of AP-2 interacts with DPF/W motifs but not WXXF-acidic motifs.,FALSE,6,Organic_Synthesis_2008
Synaptotagmin I serves as a key Ca2+ sensor in synaptic vesicle exocytosis.,TRUE,6,Organic_Synthesis_2008
"F-BAR domains create curvature by inserting amphiphilic helices into the lipid bilayer, similar to ENTH domains.",FALSE,6,Organic_Synthesis_2008
Dynamin generates a twisting motion driven by GTP hydrolysis to mediate vesicle fission.,TRUE,6,Organic_Synthesis_2008
Auxilin recruits Hsc70 for the uncoating of clathrin-coated vesicles at an early stage of vesicle formation.,FALSE,6,Organic_Synthesis_2008
Synaptojanin mutations can cause an accumulation of uncoated vesicles in neuronal synapses.,FALSE,6,Organic_Synthesis_2008
